Date,AccountValue
2008-09-19,99057.0
2008-09-22,98904.0
2008-09-23,98762.0
2008-09-24,98776.0
2008-09-25,98916.0
2008-09-26,98903.0
2008-09-29,98176.0
2008-09-30,98538.0
2008-10-01,98543.0
2008-10-02,98234.0
2008-10-03,98094.0
2008-10-06,97718.0
2008-10-07,97359.0
2008-10-08,97279.0
2008-10-09,96840.0
2008-10-10,96803.0
2008-10-13,97365.0
2008-10-14,97405.0
2008-10-15,96841.0
2008-10-16,97076.0
2008-10-17,97222.0
2008-10-20,97393.0
2008-10-21,97249.0
2008-10-22,96992.0
2008-10-23,97032.0
2008-10-24,96922.0
2008-10-27,96839.0
2008-10-28,97289.0
2008-10-29,97263.0
2008-10-30,97463.0
2008-10-31,97569.0
2008-11-03,97576.0
2008-11-04,97712.0
2008-11-05,97439.0
2008-11-06,97203.0
2008-11-07,97341.0
2008-11-10,97253.0
2008-11-11,97113.0
2008-11-12,96893.0
2008-11-13,97201.0
2008-11-14,97014.0
2008-11-17,96964.0
2008-11-18,97047.0
2008-11-19,96801.0
2008-11-20,96516.0
2008-11-21,96712.0
2008-11-24,96948.0
2008-11-25,96937.0
2008-11-26,97102.0
2008-11-28,97167.0
2008-12-01,96780.0
2008-12-02,96942.0
2008-12-03,97045.0
2008-12-04,96977.0
2008-12-05,97147.0
2008-12-08,97337.0
2008-12-09,97227.0
2008-12-10,97255.0
2008-12-11,97070.0
2008-12-12,97112.0
2008-12-15,97038.0
2008-12-16,97180.0
2008-12-17,97164.0
2008-12-18,97039.0
2008-12-19,97028.0
2008-12-22,96917.0
2008-12-23,96873.0
2008-12-24,96893.0
2008-12-26,99591.0
2008-12-29,99597.0
2008-12-30,99745.0
2008-12-31,99667.0
2009-01-29,99667.0
2009-01-02,99417.0
2009-01-05,99412.0
2009-01-06,99452.0
2009-01-07,99322.0
2009-01-08,99302.0
2009-01-09,99297.0
2009-01-12,99218.0
2009-01-13,99151.0
2009-01-14,98999.0
2009-01-15,99066.0
2009-01-16,99089.0
2009-01-20,98861.0
2009-01-21,99081.0
2009-01-22,99060.0
2009-01-23,98984.0
2009-01-26,99117.0
2009-01-27,99195.0
2009-01-28,99380.0
2009-01-30,99018.0
2009-02-02,99067.0
2009-02-03,99163.0
2009-02-04,99099.0
2009-02-05,99182.0
2009-02-06,99284.0
2009-02-09,99391.0
2009-02-10,99087.0
2009-02-11,99127.0
2009-02-12,99156.0
2009-02-13,99047.0
2009-02-17,98730.0
2009-02-18,98735.0
2009-02-19,98696.0
2009-02-20,98613.0
2009-02-23,98441.0
2009-02-24,98604.0
2009-02-25,98594.0
2009-02-26,98480.0
2009-02-27,98363.0
2009-03-02,98079.0
2009-03-03,98010.0
2009-03-04,98095.0
2009-03-05,97845.0
2009-03-06,97890.0
2009-03-09,97841.0
2009-03-10,98136.0
2009-03-11,98116.0
2009-03-12,98341.0
2009-03-13,98397.0
2009-03-16,98437.0
2009-03-17,98597.0
2009-03-18,98767.0
2009-03-19,98722.0
2009-03-20,98542.0
2009-03-23,98754.0
2009-03-24,98723.0
2009-03-25,98856.0
2009-03-26,98939.0
2009-03-27,98857.0
2009-03-30,98735.0
2009-03-31,98785.0
2009-04-01,98898.0
2009-04-02,98974.0
2009-04-03,99069.0
2009-04-06,99030.0
2009-04-07,98969.0
2009-04-08,99028.0
2009-04-09,99123.0
2009-04-13,99132.0
2009-04-14,99123.0
2009-04-15,99200.0
2009-04-16,99243.0
2009-04-17,99045.0
2009-04-20,98514.0
2009-04-21,98630.0
2009-04-22,98551.0
2009-04-23,98639.0
2009-04-24,98770.0
2009-04-27,98690.0
2009-04-28,98664.0
2009-04-29,98777.0
2009-04-30,98751.0
2009-05-01,98803.0
2009-05-04,98957.0
2009-05-05,99003.0
2009-05-06,99072.0
2009-05-07,98988.0
2009-05-08,99093.0
2009-05-11,98998.0
2009-05-12,98992.0
2009-05-13,98818.0
2009-05-14,98850.0
2009-05-15,98848.0
2009-05-18,98954.0
2009-05-19,98930.0
2009-05-20,98895.0
2009-05-21,98822.0
2009-05-22,98803.0
2009-05-26,98982.0
2009-05-27,98873.0
2009-05-28,98967.0
2009-05-29,99038.0
2009-06-01,99179.0
2009-06-02,99207.0
2009-06-03,99140.0
2009-06-04,99192.0
2009-06-05,99234.0
2009-06-08,99269.0
2009-06-09,99276.0
2009-06-10,99273.0
2009-06-11,99275.0
2009-06-12,99268.0
2009-06-15,99151.0
2009-06-16,99071.0
2009-06-17,98919.0
2009-06-18,99117.0
2009-06-19,99161.0
2009-06-22,98907.0
2009-06-23,98935.0
2009-06-24,98994.0
2009-06-25,99150.0
2009-06-26,99143.0
2009-06-29,99197.0
2009-06-30,99156.0
2009-07-01,99115.0
2009-07-02,98945.0
2009-07-06,98931.0
2009-07-07,98788.0
2009-07-08,98743.0
2009-07-09,98794.0
2009-07-10,98774.0
2009-07-13,98964.0
2009-07-14,99014.0
2009-07-15,99233.0
2009-07-16,99289.0
2009-07-17,99343.0
2009-07-20,99396.0
2009-07-21,99419.0
2009-07-22,99421.0
2009-07-23,99553.0
2009-07-24,99585.0
2009-07-27,99567.0
2009-07-28,99564.0
2009-07-29,99545.0
2009-07-30,99577.0
2009-07-31,99633.0
2009-08-03,99669.0
2009-08-04,99721.0
2009-08-05,99702.0
2009-08-06,99685.0
2009-08-07,99745.0
2009-08-10,99764.0
2009-08-11,99717.0
2009-08-12,99731.0
2009-08-13,99765.0
2009-08-14,99763.0
2009-08-17,99653.0
2009-08-18,99750.0
2009-08-19,99795.0
2009-08-20,99850.0
2009-08-21,99585.0
2009-08-24,98557.0
2009-08-25,98578.0
2009-08-26,98562.0
2009-08-27,98596.0
2009-08-28,98593.0
2009-08-31,98545.0
2009-09-01,98375.0
2009-09-02,98359.0
2009-09-03,98389.0
2009-09-04,98484.0
2009-09-08,98545.0
2009-09-09,98620.0
2009-09-10,98673.0
2009-09-11,98654.0
2009-09-14,98710.0
2009-09-15,98761.0
2009-09-16,98866.0
2009-09-17,98853.0
2009-09-18,98938.0
2009-09-21,98886.0
2009-09-22,98932.0
2009-09-23,98858.0
2009-09-24,98773.0
2009-09-25,98722.0
2009-09-28,98866.0
2009-09-29,98860.0
2009-09-30,98836.0
2009-10-01,98633.0
2009-10-02,98544.0
2009-10-05,98670.0
2009-10-06,98814.0
2009-10-07,98823.0
2009-10-08,98889.0
2009-10-09,98934.0
2009-10-12,98965.0
2009-10-13,98961.0
2009-10-14,99120.0
2009-10-15,99131.0
2009-10-16,99031.0
2009-10-19,99122.0
2009-10-20,99091.0
2009-10-21,98935.0
2009-10-22,99104.0
2009-10-23,98978.0
2009-10-26,98916.0
2009-10-27,98871.0
2009-10-28,98662.0
2009-10-29,98886.0
2009-10-30,98660.0
2009-11-02,98701.0
2009-11-03,98707.0
2009-11-04,98772.0
2009-11-05,98901.0
2009-11-06,98921.0
2009-11-09,99100.0
2009-11-10,99148.0
