Date,AccountValue
2008-09-19,98579.0
2008-09-22,98447.0
2008-09-23,98297.0
2008-09-24,98311.0
2008-09-25,98455.0
2008-09-26,98447.0
2008-09-29,97704.0
2008-09-30,98067.0
2008-10-01,98072.0
2008-10-02,97761.0
2008-10-03,97616.0
2008-10-06,97242.0
2008-10-07,96882.0
2008-10-08,96802.0
2008-10-09,96362.0
2008-10-10,96326.0
2008-10-13,96888.0
2008-10-14,96928.0
2008-10-15,96363.0
2008-10-16,96598.0
2008-10-17,96653.0
2008-10-20,96913.0
2008-10-21,96728.0
2008-10-22,96458.0
2008-10-23,96493.0
2008-10-24,96378.0
2008-10-27,96283.0
2008-10-28,96763.0
2008-10-29,96748.0
2008-10-30,96948.0
2008-10-31,97048.0
2008-11-03,97028.0
2008-11-04,97183.0
2008-11-05,96883.0
2008-11-06,96643.0
2008-11-07,96778.0
2008-11-10,96688.0
2008-11-11,96548.0
2008-11-12,96328.0
2008-11-13,96638.0
2008-11-14,96448.0
2008-11-17,96398.0
2008-11-18,96483.0
2008-11-19,96233.0
2008-11-20,95948.0
2008-11-21,96143.0
2008-11-24,96388.0
2008-11-25,96373.0
2008-11-26,96538.0
2008-11-28,96603.0
2008-12-01,96213.0
2008-12-02,96378.0
2008-12-03,96483.0
2008-12-04,96413.0
2008-12-05,96583.0
2008-12-08,96773.0
2008-12-09,96663.0
2008-12-10,96688.0
2008-12-11,96503.0
2008-12-12,96548.0
2008-12-15,96473.0
2008-12-16,96613.0
2008-12-17,96598.0
2008-12-18,96473.0
2008-12-19,96398.0
2008-12-22,96328.0
2008-12-23,96273.0
2008-12-24,96293.0
2008-12-26,98643.0
2008-12-29,98643.0
2008-12-30,98798.0
2008-12-31,98753.0
2009-01-29,98373.0
2009-01-02,99078.0
2009-01-05,99063.0
2009-01-06,99128.0
2009-01-07,98878.0
2009-01-08,98858.0
2009-01-09,98738.0
2009-01-12,98593.0
2009-01-13,98508.0
2009-01-14,98278.0
2009-01-15,98338.0
2009-01-16,98353.0
2009-01-20,98063.0
2009-01-21,98293.0
2009-01-22,98248.0
2009-01-23,98158.0
2009-01-26,98293.0
2009-01-27,98373.0
2009-01-28,98618.0
2009-01-30,98178.0
2009-02-02,98213.0
2009-02-03,98313.0
2009-02-04,98243.0
2009-02-05,98338.0
2009-02-06,98488.0
2009-02-09,98578.0
2009-02-10,98228.0
2009-02-11,98263.0
2009-02-12,98288.0
2009-02-13,98178.0
2009-02-17,97858.0
2009-02-18,97863.0
2009-02-19,97823.0
2009-02-20,97723.0
2009-02-23,97563.0
2009-02-24,97728.0
2009-02-25,97713.0
2009-02-26,97598.0
2009-02-27,97478.0
2009-03-02,97193.0
2009-03-03,97123.0
2009-03-04,97208.0
2009-03-05,96958.0
2009-03-06,97003.0
2009-03-09,96953.0
2009-03-10,97248.0
2009-03-11,97228.0
2009-03-12,97453.0
2009-03-13,97508.0
2009-03-16,97548.0
2009-03-17,97708.0
2009-03-18,97878.0
2009-03-19,97833.0
2009-03-20,97588.0
2009-03-23,98008.0
2009-03-24,97918.0
2009-03-25,98053.0
2009-03-26,98203.0
2009-03-27,98063.0
2009-03-30,97853.0
2009-03-31,97908.0
2009-04-01,98058.0
2009-04-02,98233.0
2009-04-03,98328.0
2009-04-06,98223.0
2009-04-07,98083.0
2009-04-08,98153.0
2009-04-09,98368.0
2009-04-13,98393.0
2009-04-14,98273.0
2009-04-15,98373.0
2009-04-16,98478.0
2009-04-17,98473.0
2009-04-20,98213.0
2009-04-21,98358.0
2009-04-22,98263.0
2009-04-23,98358.0
2009-04-24,98498.0
2009-04-27,98423.0
2009-04-28,98373.0
2009-04-29,98508.0
2009-04-30,98478.0
2009-05-01,98533.0
2009-05-04,98733.0
2009-05-05,98768.0
2009-05-06,98878.0
2009-05-07,98753.0
2009-05-08,98893.0
2009-05-11,98753.0
2009-05-12,98733.0
2009-05-13,98553.0
2009-05-14,98583.0
2009-05-15,98508.0
2009-05-18,98723.0
2009-05-19,98703.0
2009-05-20,98638.0
2009-05-21,98548.0
2009-05-22,98508.0
2009-05-26,98723.0
2009-05-27,98573.0
2009-05-28,98688.0
2009-05-29,98798.0
2009-06-01,99018.0
2009-06-02,99048.0
2009-06-03,98918.0
2009-06-04,99013.0
2009-06-05,99013.0
2009-06-08,99018.0
2009-06-09,99033.0
2009-06-10,99008.0
2009-06-11,99033.0
2009-06-12,99033.0
2009-06-15,98843.0
2009-06-16,98748.0
2009-06-17,98748.0
2009-06-18,98536.0
2009-06-19,98566.0
2009-06-22,98360.0
2009-06-23,98390.0
2009-06-24,98440.0
2009-06-25,98582.0
2009-06-26,98587.0
